scenario_idx,success,cycles_used,status,plan_failures,method,triggers,trigger_steps,rrt_steps_executed,lookback_frames,rrt_diag
0,1,0,success,0,rrt,future_chunk_coll,5,122,0,"[{""n_ik"":2,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":4.0723,""path_score"":0.778,""ee_arc"":0.7549,""chord"":0.5424,""arc_chord"":1.39,""gate"":""pass"",""escape"":false}]"
1,1,0,success,0,rrt,future_chunk_coll,1,184,0,"[{""n_ik"":2,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":3.4089,""path_score"":0.5013,""ee_arc"":0.5013,""chord"":0.3502,""arc_chord"":1.43,""gate"":""pass"",""escape"":false}]"
3,1,1,success,0,rrt,"future_chunk_coll,future_chunk_coll","5,132","114,10","1,0","[{""n_ik"":2,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":4.6742,""path_score"":1.2137,""ee_arc"":1.1192,""chord"":0.9159,""arc_chord"":1.22,""gate"":""pass"",""escape"":false},{""n_ik"":2,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":0.6239,""path_score"":0.0509,""ee_arc"":0.0293,""chord"":0.0283,""arc_chord"":1.03,""gate"":""pass"",""escape"":false}]"
4,1,0,success,0,rrt,future_chunk_coll,10,66,0,"[{""n_ik"":3,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":2.3798,""path_score"":0.5827,""ee_arc"":0.5314,""chord"":0.4942,""arc_chord"":1.08,""gate"":""pass"",""escape"":false}]"
6,1,1,success,0,rrt,"future_chunk_coll,future_chunk_coll","12,186","169,14","0,3","[{""n_ik"":1,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":4.3695,""path_score"":0.363,""ee_arc"":0.276,""chord"":0.2684,""arc_chord"":1.03,""gate"":""pass"",""escape"":false},{""n_ik"":1,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":0.1178,""path_score"":0.1378,""ee_arc"":0.0134,""chord"":0.0134,""arc_chord"":1.0,""gate"":""pass"",""escape"":false}]"
7,1,0,success,0,rrt,future_chunk_coll,57,69,2,"[{""n_ik"":1,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":2.7992,""path_score"":0.4044,""ee_arc"":0.3369,""chord"":0.3118,""arc_chord"":1.08,""gate"":""pass"",""escape"":false}]"
9,1,1,success,0,rrt,"future_chunk_coll,future_chunk_coll","1,172","146,51","0,1","[{""n_ik"":3,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":4.8258,""path_score"":1.3321,""ee_arc"":1.3321,""chord"":0.8085,""arc_chord"":1.65,""gate"":""pass"",""escape"":false},{""n_ik"":3,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":0.8576,""path_score"":0.3339,""ee_arc"":0.206,""chord"":0.2052,""arc_chord"":1.0,""gate"":""pass"",""escape"":false}]"
11,1,0,success,0,rrt,future_chunk_coll,21,115,0,"[{""n_ik"":1,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":3.0965,""path_score"":0.4531,""ee_arc"":0.3474,""chord"":0.3458,""arc_chord"":1.0,""gate"":""pass"",""escape"":false}]"
12,1,1,success,0,rrt,"future_chunk_coll,future_chunk_coll","5,108","82,14","0,0","[{""n_ik"":1,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":6.3227,""path_score"":0.7667,""ee_arc"":0.6248,""chord"":0.6015,""arc_chord"":1.04,""gate"":""pass"",""escape"":false},{""n_ik"":2,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":0.968,""path_score"":0.5434,""ee_arc"":0.5084,""chord"":0.5017,""arc_chord"":1.01,""gate"":""pass"",""escape"":false}]"
19,1,1,success,0,rrt,"future_chunk_coll,future_chunk_coll","9,105","73,83","2,0","[{""n_ik"":1,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":5.1916,""path_score"":0.4492,""ee_arc"":0.3502,""chord"":0.3439,""arc_chord"":1.02,""gate"":""pass"",""escape"":false},{""n_ik"":1,""ik_dropped"":0,""ik_rank"":1,""ik_tried"":1,""ik_score"":2.4486,""path_score"":0.1614,""ee_arc"":0.1054,""chord"":0.1005,""arc_chord"":1.05,""gate"":""pass"",""escape"":false}]"
